keyword,volume,kd,cpc,current_traffic,current_position,intents
"occipital neuralgia car accident settlement",100,3,3.75,5,6,"Informational"
"neck and back pain after car accident settlement",100,0,4.25,5,7,"Informational"
"auto accident shoulder injury settlement amounts",100,2,2.73,5,7,"Informational"
"how much is a neck fusion settlement",100,0,2.67,5,9,"Informational"
"herniated disc settlement calculator",100,1,1.29,3,10,"Informational;Commercial"
"pre existing neck injury settlement",100,0,1.50,3,9,"Informational"
"grade 3 whiplash average payout",100,0,,0,,"Informational"
"average settlement for elbow injury",100,0,2.15,0,,"Informational"
"spine injury lawyer los angeles",100,0,,0,4,"Informational"
"back injury from car accident settlement",90,1,4.01,11,3,"Informational"
"average settlement for car accident back injury",90,0,2.88,9,3,"Informational"
"back injury compensation payouts",90,0,,8,4,"Informational"
"lumbar radiculopathy settlement",90,0,3.34,4,8,"Informational"
"what is the average settlement for nerve damage",90,0,2.59,3,10,"Informational"
"radiofrequency ablation settlement value",90,0,5.06,0,,"Informational"
"average soft tissue injury settlement",90,1,3.52,2,10,"Informational"
"neck injury law firm",90,0,0.17,0,9,"Informational"
"car accident neck and back injury settlement amount",80,3,4.60,29,1,"Informational"
"neck injury settlement amounts",80,0,1.51,28,2,"Informational"
"back injury settlement amounts",80,2,2.10,12,2,"Informational"
"car accident back injury settlement amount",80,6,3.00,9,3,"Informational"
"spinal cord injury settlement",80,0,1.74,8,5,"Informational"
"average payout for back injury car accident",80,0,3.17,8,4,"Informational"
"settlement for back injury on the job",80,0,1.28,6,6,"Informational"
"average payout for sciatica car accident",80,0,3.54,5,7,"Informational"
"average settlement for degenerative disc disease",80,1,2.44,5,7,"Informational"
"whiplash bulging disc settlement",80,3,2.16,4,8,"Informational"
"settlement for herniated c5 and c6 disc",80,2,,4,7,"Informational"
"traumatic scoliosis car accident settlement",80,1,3.77,3,8,"Informational"
"how much does workmans comp pay for a back injury",80,1,1.50,0,1,"Informational"
"railroad back injury settlements",80,0,3.74,0,,"Informational"
"back pain after car accident compensation",80,0,4.41,0,1,"Informational"
"how much is a back injury settlement worth",70,0,2.55,8,3,"Informational"
"average settlement for car accident neck injury",70,1,2.85,6,4,"Informational"
"cervical stenosis car accident settlement",70,0,7.32,4,6,"Informational"
"lumbar stenosis settlement",70,0,,0,,"Informational"
"spinal stenosis settlement",70,0,3.00,3,7,"Informational"
"scoliosis car accident settlement",70,0,7.12,3,8,"Informational"
"average workers' comp settlement for spinal stenosis",70,0,,2,10,"Informational"
"average herniated disc settlement",70,0,3.30,2,11,"Informational"
"cervical radiculopathy workers comp settlement",70,1,,0,,"Informational"
"how much is a back injury worth",60,0,1.97,23,1,"Informational"
"average settlement for neck injury car accident",60,1,2.58,23,1,"Informational"
"how much is the average settlement for a back injury",60,0,2.29,22,1,"Informational"
"compensation for neck injury in car accident",60,0,4.38,9,3,"Informational"
"spinal injury lawsuit settlements",60,1,2.02,9,2,"Informational"
"lower back injury settlement amount",60,0,3.38,8,4,"Informational"
"average payout for spinal injury",60,0,2.17,6,4,"Informational"
"how much is a back injury settlement",60,1,2.04,6,3,"Informational"
"back pain after car accident settlement",60,2,3.59,4,7,"Informational"
"cervical radiculopathy settlement",60,1,2.37,3,7,"Informational"
"foraminal stenosis settlement",60,0,2.53,0,,"Informational"
"cervical spinal stenosis settlement",60,0,,3,7,"Informational"
"cervical spondylosis car accident settlement",60,0,2.93,2,9,"Informational"
"neck injury workers comp settlement",60,1,1.63,2,8,"Informational"
"degenerative disc disease settlements",60,0,,2,9,"Informational"
"how much is a spinal fusion settlement worth",60,4,,2,11,"Informational"
"average workers comp settlement for back injury",60,0,2.03,1,11,"Informational"
"what is average car accident settlement in north carolina",60,0,3.27,0,,"Informational"
"bone spurs car accident settlement",60,1,2.39,1,11,"Informational"
"how much is a rear end collision settlement worth",60,0,5.38,0,1,"Informational"
"compensation for back injury at work",60,0,1.67,0,1,"Informational"
"back injury settlements awards car accident",50,4,2.85,19,1,"Informational"
"how much compensation can i get for back injury",50,0,,19,1,"Informational;Commercial"
"neck injury compensation claims",50,4,,19,1,"Informational"
"car accident back pain settlement",50,1,4.12,19,1,"Informational"
"back surgery settlement amount",50,0,1.36,18,1,"Informational"
"settlement for back injury",50,1,2.14,17,1,"Informational"
"permanent back injury settlements",50,3,1.62,8,2,"Informational"
"workers compensation settlement for neck and back injury",50,5,,6,3,"Informational"
"how much is a neck and back injury worth",50,0,2.60,6,3,"Informational"
"average payout for car accident back injury",50,0,3.17,4,5,"Informational"
"how much settlement for back injury at work",50,0,1.56,4,5,"Informational"
"lumbar discectomy settlement",50,7,,0,,"Informational"
"herniated disc in neck settlement",50,12,,2,8,"Informational"
"average payout for whiplash and back injury",50,2,2.42,2,7,"Informational"
"cervical radiculopathy settlements",50,1,,2,9,"Informational"
"spinal cord injury compensation amounts",50,0,0.00,2,8,"Informational;Commercial"
"settlement for herniated c6 and c7 disc",50,1,,2,8,"Informational"
"neck surgery c5-c6-c7 settlement workers compensation",50,1,3.28,2,10,"Informational"
"spinal fusion settlement amount",50,5,,2,10,"Informational"
"average car accident settlement in wisconsin",50,0,3.07,0,,"Informational"
"average settlement for spinal fusion",50,4,,1,10,"Informational"
"spinal injury settlement amounts",40,3,2.26,14,1,"Informational"
"back injury claim amount",40,0,2.27,7,3,"Informational"
"neck and back injury settlements",40,0,0.00,6,2,"Informational;Commercial"
"what is the average payout for back injury",40,0,1.95,6,2,"Informational"
"average settlement for back injury at work",40,0,1.34,5,3,"Informational"
"how much to expect from a back injury settlement",40,0,,5,2,"Informational"
"average settlement for laminectomy",40,2,2.02,5,4,"Informational"
"neck injury lawsuit settlements",40,4,0.00,4,4,"Informational;Commercial"
"compensation for back injury after car accident",40,3,,4,5,"Informational"
"how much is a neck and back injury settlement",40,0,2.43,4,4,"Informational"
"workers' compensation settlement for neck and back injury",40,1,,4,3,"Informational"
"back injury settlements",40,0,2.14,4,5,"Informational;Commercial"
"average workers comp settlement for neck injury",40,2,,4,4,"Informational"
"how much compensation for neck and shoulder injury",40,3,1.59,3,5,"Informational"
"lumbar laminectomy settlements",40,0,,3,5,"Informational;Commercial"
"spinal injury compensation payouts",40,0,,3,5,"Informational"
"back pain from car accident settlement",40,0,4.88,3,5,"Informational"
"back injury settlement",40,2,0.23,3,6,"Informational"
"whiplash lawsuit settlement amounts",40,8,4.69,0,,"Informational"
"lumbar spine injury compensation",40,0,,2,7,"Informational"
"fractured vertebrae car accident settlement",40,0,4.30,2,7,"Informational"
"percutaneous discectomy settlement",40,1,,2,8,"Informational"
"herniated disc car accident settlement new york",40,0,,2,8,"Informational"
"l5-s1 injury settlement",40,24,1.79,0,,"Informational"
"radiculopathy settlement",40,1,2.26,1,8,"Informational"
"average settlement for acdf surgery",40,3,,1,10,"Informational"
"cervical disc replacement settlement",40,0,1.36,1,10,"Informational"
"how much is a settlement for back injury",30,0,2.04,12,1,"Informational"
"neck injury settlement",30,0,0.00,11,1,"Informational"
"lower back injury settlement amount car accident",30,2,2.60,11,1,"Informational"
"car accident neck injury settlement",30,2,2.85,9,1,"Informational"
"back and neck injury car accident settlement",30,4,0.00,9,1,"Informational"
"spine injury settlement amounts",30,0,2.26,9,1,"Informational"
"back injury settlement car accident",30,1,3.67,6,1,"Informational"
"neck injury compensation",30,0,0.00,3,4,"Informational"
"settlement for back injury in car accident",30,1,3.67,3,3,"Informational"
"back surgery settlement",30,0,2.11,3,4,"Informational"
"back pain car accident settlement",30,0,4.88,3,4,"Informational"
"workers comp neck injury settlement",30,0,2.30,3,4,"Informational"
"neck injury claim",30,0,1.40,3,6,"Informational;Commercial"
"how much is neck injury worth workers comp",30,0,1.46,3,4,"Informational"
"back injury payouts",30,0,1.84,2,5,"Informational"
"average settlement for cervical spine injury",30,0,1.22,2,4,"Informational"
"settlement for cervical radiculopathy c6-c7",30,0,2.07,2,4,"Informational"
"back surgery lawsuit settlements",30,0,2.60,2,6,"Informational"
"what is the average workers comp neck injury settlement",30,0,1.55,2,5,"Informational"
"car accident back surgery settlement $",30,7,2.45,2,4,"Informational"
"spinal fusion car accident settlements",30,3,2.62,2,5,"Informational"
"average payout for back injury in car accident",30,5,3.26,2,7,"Informational"
"average workmans comp settlement for back injury",30,0,0.00,2,5,"Informational"
"compensation for back injury",30,0,2.46,0,,"Informational"
"how much is a spinal cord injury lawsuit worth",30,0,0.00,2,5,"Informational;Commercial"
"average settlement for rear-end chiropractic",30,0,2.53,2,7,"Informational"
"average settlement for spinal stenosis",30,0,,1,8,"Informational"
"lumbar radiculopathy car accident settlement",30,0,,1,7,"Informational"
"nys workers' comp neck injury settlements",30,6,,0,,"Informational"
"settlement for neck injury from car accident",30,2,2.85,0,,"Informational;Commercial"
"cervical fusion settlements and verdicts",30,0,,1,8,"Informational"
"spine injury compensation",30,0,2.98,0,,"Informational"
"settlement for bulging c5 and c6 disc",30,1,1.84,1,10,"Informational"
"neck injury attorneys",30,0,0.00,0,,"Informational"
"how much compensation for back injury in car accident",20,0,3.75,9,1,"Informational"
"neck injury settlements",20,2,1.53,8,1,"Informational"
"average back injury settlement",20,1,2.15,7,1,"Informational"
"neck and back surgery settlements",20,6,1.08,7,1,"Informational"
"lower back injury settlements",20,0,,7,1,"Informational"
"how much should i settle for a back injury",20,0,2.06,6,1,"Informational"
"back injury lawsuit",20,0,2.23,5,1,"Informational"
"back injury lawsuit settlements",20,0,1.96,3,2,"Informational"
"back and neck injury settlements",20,0,0.00,3,2,"Informational"
"car accident neck injury settlement amount",20,3,4.67,3,3,"Informational"
"neck injury compensation calculator",20,2,2.54,3,4,"Informational"
"car accident back surgery settlement",20,3,2.45,2,4,"Informational"
"average insurance settlement for neck and back injury",20,2,2.78,2,3,"Informational"
"how much compensation will i get for a back injury",20,0,,2,3,"Informational"
"how much is a back injury worth in a car accident",20,1,,2,3,"Informational"
"car accident back injury compensation",20,1,6.19,2,3,"Informational"
"car accident neck pain settlement",20,1,8.05,2,3,"Informational"
"cervical radiculopathy lawsuit settlement",20,1,,2,6,"Informational"
"average settlement for back injury car accident",20,0,2.85,1,4,"Informational"
"average settlement for cervical fusion surgery",20,3,,1,8,"Informational"
"lumbar microdiscectomy settlement",20,1,,0,,"Informational"
"neck herniated disc settlement",20,12,,1,9,"Informational;Commercial"
"average settlement for shoulder injury car accident",20,0,3.53,1,9,"Informational"
"how much is a nerve damage settlement worth",20,1,1.99,0,10,"Informational"
"spondylosis car accident settlement",20,0,2.94,0,,"Informational;Commercial"
"pinched nerve settlement",20,1,2.56,0,12,"Informational"
"how much for a neck injury settlement",10,0,,5,1,"Informational"
"back pain settlement car accident",10,2,3.65,3,1,"Informational"
"average compensation for back injury car accident",10,3,3.91,3,1,"Informational"
"average car accident settlement back injury",10,3,,3,1,"Informational"
"neck and shoulder injury settlements",10,0,0.00,2,1,"Informational"
"back injury settlements awards",10,2,,2,1,"Informational"
"what is the average payout for back injury?",10,1,,2,2,"Informational"
"compensation for neck injury",10,0,2.97,1,3,"Informational"
"average neck injury settlement",10,0,3.30,1,1,"Informational"
"neck injury from car accident settlement",10,2,,1,3,"Informational"
"back injury payout",10,0,1.84,1,4,"Informational"
"back pain compensation",10,1,3.73,0,,"Informational;Commercial"
"neck pain after car accident settlement",10,4,3.01,1,4,"Informational"
"tmj settlement amounts",10,0,2.13,1,4,"Informational"
"average back injury settlement auto accident",10,2,2.85,1,5,"Informational;Commercial"
"how much is a neck injury settlement",10,1,2.56,1,4,"Informational"
"neck and back injury from car accident settlement",10,1,4.01,1,3,"Informational"
"average workers' comp settlement for laminectomy",10,3,,1,7,"Informational"
"compensation for back injury in car accident",10,3,3.65,1,3,"Informational"
"how much does rfa increase settlement",10,1,,0,,"Informational"
"cervical radiofrequency ablation settlement",10,0,,0,,"Informational"
"herniated disc settlement value florida",10,5,2.72,0,9,"Informational"
"how much should i settle for a lower back injury",10,0,,0,7,"Informational"
"workers' comp back injury settlements florida",10,0,1.88,0,,"Informational"
"average settlement for back injury",0,0,1.96,1,1,"Informational"
"back injury settlement with surgery",0,0,0.00,1,3,"Informational"
"what is a good settlement offer for a back injury",0,0,3.10,0,3,"Informational"
"back surgery car accident settlement",0,0,3.15,0,4,"Informational"
"neck and back injury settlement",0,0,5.61,0,1,"Informational"
"how much should i settle for a lower back injury?",0,0,,0,1,"Informational"
"how much is a neck injury worth",0,0,0.00,0,4,"Informational"
"average settlement for myofascial pain",0,0,,0,5,"Informational"
"cervical sprain car accident settlement",0,2,3.70,0,3,"Informational"
"average settlement for herniated disc in texas",0,49,,0,,"Informational"
"neck pain after being rear-ended settlements",0,0,,0,3,"Informational;Commercial"
"herniated disc from car accident settlement in georgia",0,1,2.88,0,9,"Informational"
"workers' comp neck injury settlement",0,0,,0,4,"Informational"
"neck injury settlement car accident",0,0,,0,1,"Informational"
"sciatica verdicts and settlements",0,0,2.07,0,,"Informational"
"how much is a lower back injury worth",0,0,1.82,0,4,"Informational"
"severe bilateral neural foraminal stenosis settlement",0,0,,0,,"Informational;Commercial"
"average payout for sciatica",0,0,,0,9,"Informational"
"how much should i settle for a neck injury",0,0,1.73,0,2,"Informational"
"neck injections settlement",0,19,,0,5,"Informational"
"what's the average settlement for a back injury",0,1,2.22,0,1,"Informational"
"how much does steroid injection increase settlement in south carolina",0,8,,0,4,"Informational"
"retrolisthesis from car accident settlement",0,0,2.99,0,5,"Informational"
"how much for a back injury settlement",0,0,2.04,0,2,"Informational"
"cervical strain car accident settlement",0,3,3.86,0,,"Informational"
"traumatic scoliosis settlement",0,4,2.41,0,3,"Informational"
"where are back settlements",0,0,,0,1,"Informational"
"si joint settlements",0,0,2.01,0,4,"Informational"
"neck surgery car accident settlement",0,0,3.80,0,4,"Informational;Commercial"
"what is the average settlement for a neck injury",0,2,2.10,0,4,"Informational"
"average hip injury settlement",0,0,,0,11,"Informational;Commercial"
"spinal injury compensation claims",0,1,,0,1,"Informational;Commercial"
"settlement for nerve damage in neck",0,0,1.96,0,5,"Informational"
